Seed,Epoch,Total Episodes Equivalent,Mean Reward,Mean Delay (s),Mean Energy (J),Critic Value Loss (MSE),Policy Loss,Action Entropy
789,69,690,-47.7937,4.4243,0.3223,0.005916,-0.015003,0.2292
789,70,700,-47.7317,4.4062,0.3208,0.005284,-0.012374,0.2215
789,71,710,-47.6781,4.4022,0.3228,0.004555,-0.016993,0.2277
789,72,720,-47.7106,4.4019,0.3236,0.004046,-0.018775,0.2224
789,73,730,-47.7093,4.4182,0.3186,0.003579,-0.013194,0.2262
789,74,740,-47.6782,4.4052,0.3223,0.00312,-0.015979,0.2274
789,75,750,-47.6078,4.4112,0.3188,0.003125,-0.014185,0.2219
789,76,760,-47.5953,4.4135,0.3178,0.002742,-0.013525,0.2192
789,77,770,-47.7322,4.4178,0.3197,0.002512,-0.016671,0.2203
789,78,780,-47.5608,4.4046,0.3205,0.002331,-0.011688,0.2152
789,79,790,-47.587,4.4028,0.3231,0.001811,-0.015089,0.2202
789,80,800,-47.5314,4.3899,0.3226,0.001593,-0.015645,0.21
789,81,810,-47.5522,4.4198,0.3145,0.001447,-0.014293,0.2244
789,82,820,-47.4215,4.4055,0.3216,0.001476,-0.013329,0.2096
789,83,830,-47.556,4.3948,0.3179,0.001172,-0.014393,0.2167
789,84,840,-47.5896,4.4029,0.3139,0.001291,-0.016547,0.2154
789,85,850,-47.4233,4.3872,0.3206,0.000752,-0.015919,0.2288
789,86,860,-47.2975,4.4043,0.3192,0.000898,-0.014838,0.2154
789,87,870,-47.4063,4.4115,0.3182,0.000764,-0.015682,0.2135
789,88,880,-47.3509,4.4118,0.3174,0.000745,-0.013162,0.2206
789,89,890,-47.3865,4.4156,0.3181,0.00076,-0.014346,0.2218
789,90,900,-47.34,4.4105,0.3177,0.000555,-0.012554,0.2154
789,91,910,-47.3858,4.4082,0.3187,0.000653,-0.015184,0.2139
789,92,920,-47.3612,4.4167,0.3197,0.000624,-0.013519,0.2229
789,93,930,-47.3298,4.409,0.3208,0.000783,-0.008309,0.2137
789,94,940,-47.2796,4.397,0.3186,0.0004,-0.015051,0.2107
789,95,950,-47.3717,4.4009,0.3202,0.0004,-0.009534,0.2198
789,96,960,-47.3994,4.407,0.3183,0.0004,-0.013096,0.2127
789,97,970,-47.2809,4.3848,0.3192,0.0004,-0.010982,0.2144
789,98,980,-47.3485,4.395,0.3169,0.0004,-0.01263,0.2126
789,99,990,-47.4099,4.4146,0.3169,0.000568,-0.011331,0.2132
789,100,1000,-47.3586,4.4119,0.3186,0.0004,-0.010191,0.2172
2026,1,10,-73.8205,4.7192,0.3669,11.185489,-0.24559,1.0156
2026,2,20,-72.4927,4.6992,0.365,10.009154,-0.235858,0.9676
2026,3,30,-71.4347,4.7074,0.3623,8.956686,-0.222292,0.9233
2026,4,40,-69.1381,4.6791,0.3598,8.014904,-0.217634,0.899
2026,5,50,-68.4056,4.6501,0.3562,7.172464,-0.201844,0.8467
2026,6,60,-67.3107,4.6566,0.3536,6.417593,-0.188771,0.8232
2026,7,70,-66.19,4.6385,0.3532,5.742736,-0.181473,0.7868
2026,8,80,-64.8525,4.6147,0.3529,5.139238,-0.174009,0.7559
2026,9,90,-64.1421,4.6127,0.3484,4.598293,-0.168057,0.7284
2026,10,100,-63.9081,4.6079,0.3495,4.114706,-0.154313,0.7013
2026,11,110,-62.2739,4.5875,0.3468,3.682226,-0.149302,0.6687
2026,12,120,-61.4699,4.5763,0.3456,3.294983,-0.140823,0.647
2026,13,130,-60.7503,4.5727,0.3437,2.948602,-0.133746,0.6239
2026,14,140,-60.105,4.567,0.3417,2.638546,-0.124621,0.5936
2026,15,150,-59.1556,4.566,0.3392,2.361426,-0.120168,0.5821
2026,16,160,-58.4599,4.5397,0.3374,2.112602,-0.114419,0.5614
2026,17,170,-57.9946,4.5552,0.3369,1.890255,-0.108584,0.5405
2026,18,180,-57.5204,4.5171,0.3387,1.691823,-0.104536,0.5363
2026,19,190,-57.1162,4.534,0.3352,1.513621,-0.101338,0.511
2026,20,200,-56.5076,4.5124,0.3347,1.354686,-0.091937,0.4916
2026,21,210,-55.7645,4.5249,0.3338,1.212224,-0.087962,0.4787
2026,22,220,-55.4356,4.5215,0.3334,1.084652,-0.084754,0.46
2026,23,230,-55.1214,4.5114,0.3332,0.970828,-0.079073,0.4414
2026,24,240,-54.5125,4.4907,0.3329,0.868693,-0.079069,0.4298
2026,25,250,-54.1767,4.4875,0.3307,0.777299,-0.074383,0.425
2026,26,260,-53.731,4.479,0.33,0.695561,-0.070247,0.412
2026,27,270,-53.2923,4.4964,0.3271,0.622371,-0.068,0.3954
2026,28,280,-53.2717,4.4551,0.3292,0.556818,-0.064185,0.3883
2026,29,290,-52.7197,4.4836,0.3277,0.49823,-0.059221,0.3757
2026,30,300,-52.3299,4.489,0.3279,0.445955,-0.058332,0.3646
2026,31,310,-52.0156,4.4438,0.3279,0.398967,-0.052605,0.3625
2026,32,320,-52.0715,4.4668,0.3281,0.357334,-0.057661,0.3588
2026,33,330,-51.5869,4.4517,0.3252,0.319395,-0.049775,0.3501
2026,34,340,-51.4847,4.464,0.3292,0.285861,-0.047411,0.3366
2026,35,350,-51.2453,4.4509,0.3268,0.255441,-0.049869,0.3199
2026,36,360,-50.946,4.462,0.3287,0.228553,-0.045728,0.3191
2026,37,370,-50.9055,4.4411,0.3228,0.205278,-0.046972,0.3138
2026,38,380,-50.6154,4.4448,0.3251,0.183085,-0.041814,0.3143
2026,39,390,-50.3629,4.4402,0.3266,0.163757,-0.038045,0.3116
2026,40,400,-50.22,4.4445,0.3263,0.146964,-0.041199,0.3076
2026,41,410,-50.0642,4.4494,0.3249,0.13116,-0.039827,0.2993
2026,42,420,-49.8447,4.421,0.3231,0.117755,-0.036983,0.3013
2026,43,430,-49.7299,4.4462,0.3222,0.105548,-0.033399,0.29
2026,44,440,-49.5825,4.4356,0.3262,0.094112,-0.034103,0.2831
2026,45,450,-49.4884,4.432,0.3195,0.084456,-0.034304,0.2776
2026,46,460,-49.4054,4.4374,0.3188,0.075098,-0.026512,0.2828
2026,47,470,-49.1453,4.4254,0.3252,0.067408,-0.031168,0.2635
2026,48,480,-49.1586,4.424,0.3181,0.060164,-0.029894,0.2635
2026,49,490,-48.9983,4.4221,0.323,0.054247,-0.027624,0.2592
2026,50,500,-48.9036,4.4183,0.3189,0.048288,-0.026555,0.265
2026,51,510,-48.9603,4.4231,0.324,0.043114,-0.026612,0.2605
2026,52,520,-48.7543,4.4331,0.3221,0.038444,-0.027945,0.2587
2026,53,530,-48.808,4.4208,0.3219,0.034733,-0.025898,0.2553
2026,54,540,-48.648,4.4119,0.3235,0.030877,-0.023689,0.2581
2026,55,550,-48.4243,4.4335,0.3202,0.027426,-0.024314,0.2478
2026,56,560,-48.46,4.4152,0.321,0.024446,-0.022423,0.2575
2026,57,570,-48.2794,4.4231,0.3226,0.022051,-0.023408,0.2572
2026,58,580,-48.3046,4.4293,0.3213,0.019989,-0.020299,0.2474
2026,59,590,-48.3271,4.4132,0.3253,0.01778,-0.018885,0.2417
2026,60,600,-48.2789,4.4065,0.3178,0.015545,-0.021526,0.2367
2026,61,610,-48.2357,4.406,0.3195,0.014339,-0.019348,0.2394
2026,62,620,-48.0437,4.4141,0.3211,0.012538,-0.021351,0.2369
2026,63,630,-48.0775,4.4305,0.3217,0.01154,-0.019823,0.2378
2026,64,640,-47.9208,4.4054,0.3229,0.009907,-0.017947,0.2395
2026,65,650,-47.9087,4.4212,0.3175,0.009063,-0.015456,0.2384
2026,66,660,-47.9592,4.4038,0.3213,0.008149,-0.018722,0.2282
2026,67,670,-47.8698,4.4191,0.3203,0.007454,-0.017985,0.244
2026,68,680,-47.812,4.4241,0.3169,0.006413,-0.018025,0.2254
2026,69,690,-47.9344,4.4061,0.3233,0.005945,-0.016314,0.2335
2026,70,700,-47.7937,4.4209,0.3203,0.005376,-0.019076,0.2278
2026,71,710,-47.7292,4.4015,0.3179,0.004365,-0.015987,0.2277
2026,72,720,-47.673,4.4142,0.3238,0.004259,-0.014836,0.2274
2026,73,730,-47.6868,4.4036,0.3212,0.003769,-0.018369,0.2256
2026,74,740,-47.7263,4.4098,0.322,0.003505,-0.018762,0.2166
2026,75,750,-47.7743,4.4038,0.3197,0.002638,-0.017161,0.2143
2026,76,760,-47.6557,4.4187,0.32,0.003009,-0.014298,0.2202
2026,77,770,-47.5145,4.4157,0.3162,0.002335,-0.016959,0.2207
2026,78,780,-47.5608,4.4178,0.3202,0.002094,-0.013491,0.2197
2026,79,790,-47.524,4.4043,0.3221,0.001944,-0.016208,0.2142
2026,80,800,-47.5321,4.4012,0.3223,0.00185,-0.01441,0.2184
2026,81,810,-47.4888,4.3961,0.3155,0.001292,-0.014614,0.2301
2026,82,820,-47.4473,4.4072,0.3189,0.001323,-0.014711,0.2179
2026,83,830,-47.4152,4.3888,0.3217,0.001156,-0.016888,0.2153
2026,84,840,-47.4804,4.4186,0.3181,0.001406,-0.015555,0.2252
2026,85,850,-47.4745,4.4279,0.3211,0.000941,-0.010722,0.2184
2026,86,860,-47.5052,4.402,0.3167,0.000636,-0.012166,0.2184
2026,87,870,-47.4742,4.4096,0.3179,0.000848,-0.013432,0.2214
2026,88,880,-47.5552,4.4096,0.3222,0.00098,-0.012164,0.2165
2026,89,890,-47.4144,4.3848,0.3178,0.000567,-0.016634,0.2071
2026,90,900,-47.4365,4.388,0.319,0.0004,-0.013161,0.2122
2026,91,910,-47.4351,4.4016,0.3183,0.000548,-0.014054,0.2144
2026,92,920,-47.408,4.3965,0.32,0.0004,-0.018103,0.2136
2026,93,930,-47.3888,4.4123,0.3223,0.000904,-0.01459,0.2186
2026,94,940,-47.3232,4.3857,0.3153,0.0004,-0.013223,0.2112
2026,95,950,-47.2872,4.3995,0.322,0.00045,-0.008983,0.2028
2026,96,960,-47.2968,4.3999,0.3199,0.000414,-0.014534,0.2088
2026,97,970,-47.2604,4.4084,0.3215,0.000558,-0.007669,0.2158
2026,98,980,-47.3689,4.4061,0.3216,0.0004,-0.014532,0.2035
2026,99,990,-47.3126,4.4028,0.3185,0.0004,-0.012842,0.2164
2026,100,1000,-47.1673,4.4152,0.3196,0.0004,-0.013834,0.2142
